rank,gid,role,priority_score,why,secondary_role,is_seed,depth,cluster_id,seed_in_kzt,seed_sources,money_score,sources_score,role_part,patterns
1,100000004015047100,consolidator,0.751981281,"Гипотеза. Сбор: 9 плательщиков, 18 переводов, 919 тыс. ₸ → 1 получатель; отдал 8%; денег seed ≈599 тыс. ₸ от 4 seed. Также признаки: конечный получатель. Приоритет 0,75 = 0,50×0,69 (деньги seed) + 0,20×1,00 (разные seed) + 0,30×0,69 (роль). Гипотеза для проверки.",terminal,False,1,7,598884.000000000,4,0.692790902,1.000000000,0.685286100,return_flow;stable_route
2,100000003115284100,consolidator,0.722852657,"Гипотеза. Сбор: 8 плательщиков, 15 переводов, 2,2 млн ₸ → 2 получателя; отдал 24%; денег seed ≈815 тыс. ₸ от 3 seed. Приоритет 0,72 = 0,50×0,74 (деньги seed) + 0,20×0,67 (разные seed) + 0,30×0,74 (роль). Гипотеза для проверки.",,False,1,12,815000.000000000,3,0.737395868,0.666666667,0.736071300,sync_inflow;return_flow
3,100000001732159100,coordinator,0.688701992,"Гипотеза. Координация: деньги 2 других seed (≈2,3 млн ₸); 2 плательщика → 4 получателя; дальше ушло 62% денег seed. Seed: вход неполон. Приоритет 0,69 = 0,50×0,89 (деньги seed) + 0,20×0,33 (разные seed) + 0,30×0,59 (роль). Уже в списке seed. Гипотеза для проверки.",,True,0,10,2339817.338492309,2,0.890070650,0.333333333,0.590000000,seed;split;return_flow;stable_route
4,100000005382566100,consolidator,0.685067279,"Гипотеза. Сбор: 7 плательщиков, 11 переводов, 393 тыс. ₸ → 1 получатель; денег seed ≈335 тыс. ₸ от 7 seed. Seed: вход неполон. Приоритет 0,69 = 0,50×0,61 (деньги seed) + 0,20×1,00 (разные seed) + 0,30×0,60 (роль). Уже в списке seed. Гипотеза для проверки.",,True,0,20,335066.000000000,7,0.608720119,1.000000000,0.602357400,seed;return_flow
5,100000007908818100,coordinator,0.658079886,"Гипотеза. Координация: деньги 3 seed (≈438 тыс. ₸); 4 плательщика → 6 получателей; дальше ушло 5% денег seed. Также признаки: веер. Приоритет 0,66 = 0,50×0,65 (деньги seed) + 0,20×0,67 (разные seed) + 0,30×0,67 (роль). Гипотеза для проверки.",distributor,False,1,4,437975.000000000,3,0.647493106,0.666666667,0.670000000,external_funding
6,100000006889963100,consolidator,0.648834923,"Гипотеза. Сбор: 4 плательщика, 6 переводов, 1,4 млн ₸ → 1 получатель; отдал 31%; денег seed ≈531 тыс. ₸ от 3 seed. Приоритет 0,65 = 0,50×0,68 (деньги seed) + 0,20×0,67 (разные seed) + 0,30×0,59 (роль). Гипотеза для проверки.",,False,1,6,531000.000000000,3,0.675374839,0.666666667,0.592713900,sync_inflow;stable_route
7,100000001072022100,consolidator,0.638143619,"Гипотеза. Сбор: 3 плательщика, 6 переводов, 1,7 млн ₸ → 0 получателей; отдал 0%; денег seed ≈740 тыс. ₸ от 3 seed. Также признаки: конечный получатель. Приоритет 0,64 = 0,50×0,72 (деньги seed) + 0,20×0,67 (разные seed) + 0,30×0,48 (роль). Гипотеза для проверки.",terminal,False,1,3,740000.000000000,3,0.723420572,0.666666667,0.477000000,late_inflow
8,100000003404627100,consolidator,0.637877995,"Гипотеза. Сбор: 4 плательщика, 5 переводов, 878 тыс. ₸ → 0 получателей; отдал 0%; денег seed ≈465 тыс. ₸ от 3 seed. Также признаки: конечный получатель. Приоритет 0,64 = 0,50×0,66 (деньги seed) + 0,20×0,67 (разные seed) + 0,30×0,59 (роль). Гипотеза для проверки.",terminal,False,1,10,465000.000000000,3,0.656160983,0.666666667,0.588213900,sync_inflow
9,100000006972210100,consolidator,0.605423163,"Гипотеза. Сбор: 3 плательщика, 4 перевода, 489 тыс. ₸ → 0 получателей; отдал 0%; денег seed ≈489 тыс. ₸ от 3 seed. Также признаки: конечный получатель. Приоритет 0,61 = 0,50×0,66 (деньги seed) + 0,20×0,67 (разные seed) + 0,30×0,47 (роль). Гипотеза для проверки.",terminal,False,1,9,488775.000000000,3,0.663379660,0.666666667,0.468000000,late_inflow
10,100000002894076100,consolidator,0.593528607,"Гипотеза. Сбор: 4 плательщика, 6 переводов, 1,1 млн ₸ → 0 получателей; отдал 0%; денег seed ≈822 тыс. ₸ от 2 seed. Также признаки: конечный получатель. Приоритет 0,59 = 0,50×0,74 (деньги seed) + 0,20×0,33 (разные seed) + 0,30×0,53 (роль). Гипотеза для проверки.",terminal,False,1,7,821782.000000000,2,0.738595540,0.333333333,0.525213900,sync_inflow
11,100000003684369100,coordinator,0.591110384,"Гипотеза. Координация: деньги 2 других seed (≈313 тыс. ₸); 24 плательщика → 62 получателя; дальше ушло 100% денег seed. Seed: вход неполон. Также признаки: веер. Приоритет 0,59 = 0,50×0,60 (деньги seed) + 0,20×0,33 (разные seed) + 0,30×0,75 (роль). Уже в списке seed. Гипотеза для проверки.",distributor,True,0,3,313063.409483512,2,0.598887435,0.333333333,0.750000000,seed;fast_transit;sync_inflow;return_flow;stable_route;late_inflow
12,100000004019124100,consolidator,0.589133780,"Гипотеза. Сбор: 3 плательщика, 3 перевода, 193 тыс. ₸ → 0 получателей; денег seed ≈158 тыс. ₸ от 4 seed. Seed: вход неполон. Приоритет 0,59 = 0,50×0,50 (деньги seed) + 0,20×1,00 (разные seed) + 0,30×0,46 (роль). Уже в списке seed. Гипотеза для проверки.",,True,0,5,158297.000000000,4,0.500167560,1.000000000,0.463500000,seed
13,100000002957306100,terminal,0.576241237,"Гипотеза. Конечный получатель: получил 398 тыс. ₸ от 2 плательщиков, отдал 0%; до 24.07 пришло 100%; денег seed ≈398 тыс. ₸ от 3 seed. Приоритет 0,58 = 0,50×0,63 (деньги seed) + 0,20×0,67 (разные seed) + 0,30×0,42 (роль). Гипотеза для проверки.",,False,1,12,398490.000000000,3,0.633815808,0.666666667,0.420000000,
14,100000001530983100,coordinator,0.575999296,"Гипотеза. Координация: деньги 2 seed (≈393 тыс. ₸); 4 плательщика → 11 получателей; дальше ушло 100% денег seed. Также признаки: веер. Приоритет 0,58 = 0,50×0,63 (деньги seed) + 0,20×0,33 (разные seed) + 0,30×0,65 (роль). Гипотеза для проверки.",distributor,False,1,5,392614.000000000,2,0.631665259,0.333333333,0.645000000,external_funding;fast_transit;stable_route
